#Name                     Lat         Lon          YYYY-MM-DDTHH:mm:ss    Altitude
# Day 1
McCully              44.826389   -118.224998  2026-09-02T00:00:00    Y
Plaskett             36.007221   -121.399719  2026-09-02T00:00:00    Y
Grotto               46.303890   -115.031670  2026-09-02T00:00:00    Y
LITTLE_GIANT         48.078335   -120.836113  2026-09-02T00:00:00    Y
CROOKED              43.824722   -115.607224  2026-09-02T00:00:00    Y
McConnell            41.573334   -117.686386  2026-09-02T00:00:00    Y
DeepCreek            43.948055   -122.425835  2026-09-02T00:00:00    Y
# Day 2
McCully              44.826389   -118.224998  2026-09-03T00:00:00    Y
Plaskett             36.007221   -121.399719  2026-09-03T00:00:00    Y
Grotto               46.303890   -115.031670  2026-09-03T00:00:00    Y
LITTLE_GIANT         48.078335   -120.836113  2026-09-03T00:00:00    Y
CROOKED              43.824722   -115.607224  2026-09-03T00:00:00    Y
McConnell            41.573334   -117.686386  2026-09-03T00:00:00    Y
DeepCreek            43.948055   -122.425835  2026-09-03T00:00:00    Y
